N,P,K,temperature,humidity,ph,rainfall,soil_moisture,latitude,longitude,season,rainfall_past_2yr_avg,rainfall_estimated_this_year,soil_type
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,70.52,15.4021,85.3806,monsoon,967.9,1197.61,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,51.79,27.3624,69.6305,monsoon,473.72,618.67,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,100,12.2426,83.0887,monsoon,3539.45,4748.31,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,89.42,20.0568,75.872,monsoon,1470.79,1799.28,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,45.07,29.4686,69.5471,monsoon,311.93,378.09,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,100,8.531,85.4516,monsoon,3814.35,5555.36,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,44.95,25.1575,71.3433,monsoon,288.56,394.09,rice
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,56.89,28.5078,75.5845,monsoon,581.57,797.96,rice
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,100,8.1013,71.5894,monsoon,2858.3,3743.94,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,100,14.3612,77.7565,monsoon,1835.41,2440.23,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,100,12.8938,70.3374,monsoon,2118.85,2643.14,rice
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,48.05,31.2403,81.2676,monsoon,384.46,481.38,rice
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,62.42,16.2753,69.6686,monsoon,696.78,1026.41,rice
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,44.57,30.703,72.3135,monsoon,276.97,388.26,rice
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,100,8.9243,78.5854,monsoon,2552.91,3299.6,rice
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,44.03,30.6421,83.2125,monsoon,269.79,373.94,rice
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,100,14.5063,81.444,monsoon,2145.47,3076.48,rice
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,97.27,17.0202,85.1227,monsoon,1514.14,2263.26,rice
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,94.38,20.3564,83.4979,monsoon,1449,2158.73,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,100,10.9745,78.1507,monsoon,3556.95,4255.74,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,100,12.4579,74.8077,monsoon,2177.02,3154.01,rice
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,100,14.6761,69.1937,monsoon,2633.53,3512.05,rice
